epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.199,0.94429,1.37797,1.69363,1.09964,0.37356,0.53838,0.29602,0.22482,0.37501,0.54009,0.29207,0.2182,0.96605,2.45455,3.56356,1.17958,0.0700935,0.00332295,0.00332295
2,243.023,0.88647,1.29499,1.5277,1.07178,0.34589,0.67176,0.35982,0.26972,0.35177,0.6779,0.37005,0.29351,0.91243,1.39259,1.64677,1.16582,0.0400385,0.00660137,0.00660137
3,378.321,0.79423,1.11517,1.39778,1.02869,0.40553,0.66346,0.41964,0.34901,0.40851,0.66817,0.42283,0.35002,0.76826,1.25129,1.6201,1.0845,0.00992863,0.00982479,0.00982479
4,491.642,0.78689,1.067,1.35282,1.02872,0.33917,0.90588,0.45268,0.38102,0.34056,0.90867,0.45604,0.38287,0.61689,1.04174,1.58234,1.00111,0.0097525,0.0097525,0.0097525
5,608.327,0.73844,1.00659,1.3243,1.01322,0.43521,0.74967,0.4835,0.42141,0.43908,0.75632,0.49009,0.42663,0.60454,0.87328,1.20284,1.00051,0.00967,0.00967,0.00967
6,724.855,0.67058,0.94808,1.26804,0.98471,0.46918,0.75367,0.49757,0.4304,0.4738,0.76118,0.50584,0.43365,0.55983,0.91918,1.12418,0.96871,0.0095875,0.0095875,0.0095875
7,828.414,0.65774,0.91152,1.24211,0.97701,0.39216,0.8936,0.4778,0.41833,0.39418,0.89831,0.48307,0.42191,0.52264,0.80779,1.24073,0.94664,0.009505,0.009505,0.009505
8,957.633,0.63852,0.88549,1.20703,0.97227,0.46131,0.78553,0.53332,0.46505,0.46577,0.79148,0.54381,0.47364,0.57496,0.84947,1.15759,0.99335,0.0094225,0.0094225,0.0094225
9,1062.09,0.63973,0.90912,1.23819,0.9611,0.4607,0.77914,0.55102,0.49177,0.46473,0.78449,0.55993,0.50082,0.53227,0.73322,1.17784,0.96584,0.00934,0.00934,0.00934
10,1186.14,0.62574,0.86047,1.19049,0.96616,0.49374,0.73836,0.56348,0.50222,0.49654,0.74264,0.56889,0.49635,0.50731,0.80272,1.11118,0.94157,0.0092575,0.0092575,0.0092575
11,1310.65,0.61525,0.87168,1.19984,0.95471,0.51967,0.75685,0.59339,0.52873,0.5234,0.76242,0.60062,0.53334,0.51028,0.7617,1.04658,0.93178,0.009175,0.009175,0.009175
12,1413.84,0.61529,0.85442,1.18254,0.95503,0.40963,0.89843,0.55042,0.48807,0.41282,0.90551,0.55908,0.48861,0.49036,0.70634,1.1774,0.92607,0.0090925,0.0090925,0.0090925
13,1537.68,0.59054,0.81335,1.14427,0.94729,0.49549,0.78234,0.60281,0.53982,0.49883,0.78898,0.6104,0.54483,0.46631,0.67643,1.04576,0.91876,0.00901,0.00901,0.00901
14,1658.82,0.57652,0.80629,1.14025,0.94553,0.5498,0.75133,0.62386,0.56285,0.5538,0.75905,0.63273,0.55684,0.46767,0.74068,0.98569,0.91962,0.0089275,0.0089275,0.0089275
15,1784.27,0.56855,0.81322,1.12593,0.94069,0.55208,0.73182,0.64138,0.57751,0.55964,0.73705,0.65178,0.57498,0.44639,0.65428,0.99444,0.91949,0.008845,0.008845,0.008845
16,1914.01,0.57403,0.76695,1.15501,0.9438,0.55094,0.73668,0.6469,0.58907,0.55384,0.74054,0.65569,0.58742,0.4517,0.70998,1.01409,0.9133,0.0087625,0.0087625,0.0087625
17,2016.45,0.55215,0.76786,1.10646,0.94017,0.49782,0.74613,0.62232,0.57002,0.50143,0.75149,0.63255,0.56399,0.43092,0.68368,1.05579,0.90538,0.00868,0.00868,0.00868
18,2119.3,0.55365,0.76043,1.09915,0.93739,0.61309,0.69031,0.68285,0.6155,0.61729,0.69502,0.69228,0.61134,0.45977,0.66879,0.95606,0.912,0.0085975,0.0085975,0.0085975
19,2257.67,0.55197,0.7794,1.11551,0.94115,0.49592,0.79966,0.58125,0.52993,0.4988,0.80438,0.58705,0.52468,0.4368,0.68846,1.01589,0.90725,0.008515,0.008515,0.008515
20,2376.93,0.54506,0.76746,1.11762,0.9398,0.5446,0.76668,0.61464,0.54944,0.55077,0.76895,0.62294,0.54939,0.45116,0.66528,1.00991,0.91713,0.0084325,0.0084325,0.0084325
21,2497.76,0.53146,0.72081,1.09187,0.92739,0.51885,0.66658,0.58913,0.52909,0.52695,0.66817,0.59805,0.524,0.43485,0.71705,1.10152,0.91468,0.00835,0.00835,0.00835
22,2601.3,0.53846,0.73007,1.09336,0.93298,0.54394,0.77155,0.61002,0.55445,0.54657,0.77715,0.61786,0.55746,0.43548,0.60107,0.97174,0.90535,0.0082675,0.0082675,0.0082675
23,2739.53,0.52431,0.71633,1.07301,0.92568,0.52113,0.81085,0.64637,0.59191,0.5256,0.81548,0.65537,0.58876,0.42318,0.62051,1.06418,0.90174,0.008185,0.008185,0.008185
24,2842.64,0.52382,0.7105,1.09212,0.92956,0.52397,0.75042,0.62144,0.56207,0.52966,0.75006,0.62918,0.56357,0.45466,0.64141,1.03708,0.92981,0.0081025,0.0081025,0.0081025
25,2944.75,0.51534,0.68674,1.06567,0.92503,0.57325,0.72821,0.67464,0.61961,0.57403,0.73672,0.68346,0.614,0.42894,0.62836,0.95927,0.90824,0.00802,0.00802,0.00802
26,3070.47,0.51715,0.7547,1.06239,0.92607,0.57297,0.72329,0.65325,0.60023,0.57741,0.7268,0.66321,0.59495,0.42114,0.65651,0.96234,0.90317,0.0079375,0.0079375,0.0079375
27,3173.01,0.51262,0.74061,1.05902,0.91744,0.5504,0.73239,0.66048,0.60447,0.55413,0.73754,0.67075,0.59817,0.42228,0.66159,0.96388,0.89919,0.007855,0.007855,0.007855
28,3276.63,0.49858,0.69256,1.04949,0.91652,0.52461,0.76335,0.66627,0.61509,0.52805,0.7685,0.67688,0.60694,0.41349,0.61769,0.99839,0.90227,0.0077725,0.0077725,0.0077725
29,3379,0.50456,0.67398,1.0464,0.92263,0.4842,0.79857,0.6442,0.5948,0.48784,0.80457,0.65457,0.59142,0.40425,0.61962,1.0037,0.89395,0.00769,0.00769,0.00769
30,3482.1,0.48983,0.67026,1.05601,0.90815,0.57865,0.71107,0.66551,0.61745,0.58263,0.7175,0.67682,0.61485,0.39561,0.60612,0.94837,0.89218,0.0076075,0.0076075,0.0076075
31,3584.99,0.48681,0.65365,1.043,0.91159,0.53309,0.74598,0.65222,0.60262,0.53739,0.75015,0.66185,0.5979,0.38852,0.60093,0.97999,0.89654,0.007525,0.007525,0.007525
